Sujeto,Condición,Nro de palabras únicas,Nro de palabras totales
1,campeones_del_mundo,0.6855411217340879,0.5281543064402012
1,presencial,1.5820179732325106,1.725713489647634
1,cfk,-0.7382750541751716,-0.7922314596603016
1,arabia,-0.3691375270875858,-0.577284939597429
1,antesdevenir,-1.1601465137038411,-0.8843513968301041
2,campeones_del_mundo,1.7046068944556283,1.7655188921766383
2,presencial,0.5839310814917203,0.46490152646657557
2,cfk,-0.7431850128076443,-0.6696795797911388
2,arabia,-0.8316594190942685,-0.7665340644716754
2,antesdevenir,-0.7136935440454362,-0.7942067743804001
3,campeones_del_mundo,1.5446033161206163,1.565003381411447
3,presencial,-0.4982591342324569,-0.46089096345774017
3,cfk,0.6975627879254396,0.6786746055311776
3,arabia,-0.44843322080921116,-0.5115383220794698
3,antesdevenir,-1.295473749004388,-1.271248701405415
4,campeones_del_mundo,1.6475114643755002,1.6851388679755352
4,presencial,-1.1174093959769016,-0.9942183313075997
4,cfk,-0.20212524910162374,-0.32097883199533994
4,arabia,0.5224747005079712,0.5222706418907228
4,antesdevenir,-0.8504515198049456,-0.8922123465633179
5,campeones_del_mundo,1.9758635649243261,1.9906651759075555
5,presencial,-0.6398034400707342,-0.43897923100791625
5,cfk,-0.6209856918333596,-0.6385152451024235
5,arabia,-0.5080792024091124,-0.5563533569458617
5,antesdevenir,-0.20699523061111988,-0.35681734285135436
6,campeones_del_mundo,1.629330082704105,1.694625100828964
6,presencial,0.2771196657058211,0.29137541290624586
6,cfk,0.11018010805171194,-0.048264638947660414
6,arabia,-1.3421940435390376,-1.2548806126391696
6,antesdevenir,-0.674435812922601,-0.68285526214838
7,campeones_del_mundo,1.7341643782887737,1.5259883646766272
7,presencial,-0.8455842836284104,-0.8834669479706789
7,cfk,-0.8933574069972472,-1.0077642458453415
7,arabia,-0.4872858583621349,-0.45320707071223143
7,antesdevenir,0.4920631706990183,0.8184498998516245
8,campeones_del_mundo,1.2853755886683953,1.0312926855362392
8,presencial,0.5550485496522615,0.5478742391911271
8,cfk,-1.2951132825219438,-1.1279763748052616
8,arabia,0.5063600803845193,0.8379253069981943
8,antesdevenir,-1.0516709361832326,-1.289115856920299
9,campeones_del_mundo,1.9091332820150195,1.9455598994784844
9,presencial,0.055398956844185714,-0.044854406904403205
9,cfk,-0.8395072691003547,-0.6802918380501138
9,arabia,-0.477283320503755,-0.558811152684022
9,antesdevenir,-0.647741649255096,-0.6616025018399458
10,campeones_del_mundo,0.9537930736808986,0.9038383491356217
10,presencial,-0.314146131410772,-0.43020223482885417
10,cfk,-0.616937583372962,-0.3474710358233053
10,arabia,1.3322823886336361,1.3278357440390598
10,antesdevenir,-1.3549917475308002,-1.4540008225225216
11,campeones_del_mundo,1.6191500585306864,1.6514807625773253
11,presencial,0.39491464842211865,0.4104836577504335
11,cfk,-1.3822012694774153,-1.3316853547950107
11,arabia,-0.5528805077909661,-0.5441294998087141
11,antesdevenir,-0.07898292968442373,-0.1861495657240337
12,campeones_del_mundo,1.9017095105597133,1.9738695112041458
12,presencial,-0.5908223722127263,-0.36839500093902267
12,cfk,0.10154759522406248,-0.2774332723121035
12,arabia,-0.8216123613583225,-0.5957993225063206
12,antesdevenir,-0.5908223722127263,-0.7322419154466994
13,campeones_del_mundo,1.5637503640627468,1.5084574969566995
13,presencial,0.12145633895632994,0.022021277327834952
13,cfk,-1.1690172624546746,-1.0515159924041229
13,arabia,0.4630522922710076,0.6276064038432984
13,antesdevenir,-0.9792417328354092,-1.1065691857237103
14,campeones_del_mundo,1.9229022149442645,1.9144940919348865
14,presencial,-0.30485035114970066,-0.282466341433016
14,cfk,-0.9497260939663748,-1.0043247695396125
14,arabia,-0.128975148563335,-0.15692574524056446
14,antesdevenir,-0.5393506212648549,-0.4707772357216934
15,campeones_del_mundo,1.904359176148189,1.9306304319316547
15,presencial,-0.1036385946203097,-0.22319426958747454
15,cfk,-0.6542186285407046,-0.7030619492005448
15,arabia,-0.20079977707684998,-0.1673957021906059
15,antesdevenir,-0.9457021759103253,-0.8369785109530296
16,campeones_del_mundo,0.9155837759558929,1.1480171605117542
16,presencial,0.07042952122737638,-0.17962173259707695
16,cfk,0.21128856368212914,0.13276388931088334
16,arabia,0.7042952122737638,0.6794387276498138
16,antesdevenir,-1.9015970731391623,-1.7805980448753733
17,campeones_del_mundo,1.9049315334494707,1.9046689649765383
17,presencial,-0.05528825031119844,-0.10730529380149499
17,cfk,-0.23120541039228415,-0.17437110242742943
17,arabia,-0.8594809821104473,-0.8929333377052985
17,antesdevenir,-0.7589568906355413,-0.7300592310423148
18,campeones_del_mundo,1.7753231793543862,1.7558047287252645
18,presencial,0.004071842154482595,0.32682586006086706
18,cfk,0.10586789601654602,-0.23203221233758542
18,arabia,-0.7695781671971994,-0.7767419791056973
18,antesdevenir,-1.115684750328215,-1.0738563973428492
19,campeones_del_mundo,1.2124105665549385,1.485115697509035
19,presencial,-1.1489704787700872,-1.0881045704521646
19,cfk,-0.19736916199731563,-0.30388506021637035
19,arabia,-0.9727480127010555,-0.9165565525880845
19,antesdevenir,1.1066770869135194,0.8234304857475837
20,campeones_del_mundo,1.8265387385336835,1.932831159960414
20,presencial,0.24662126427459036,-0.04112406723320029
20,cfk,-1.025019629641265,-0.49348880679840357
20,arabia,-0.5626047591264085,-0.843043378280606
20,antesdevenir,-0.48553561404059914,-0.555174907648204
21,campeones_del_mundo,1.6990605687218785,1.7903668862532172
21,presencial,0.1298645020679142,0.208876136729542
21,cfk,-0.871174368038925,-0.7758256507097274
21,arabia,-1.1417254140137465,-1.0593004076998203
21,antesdevenir,0.18397471126287848,-0.1641169645732116
22,campeones_del_mundo,1.6649978526246587,1.7433448242815597
22,presencial,0.5033714438167572,0.47451606245762473
22,cfk,-1.190667069028099,-0.9885211833189533
22,arabia,-0.6872956252113417,-0.6518931444677053
22,antesdevenir,-0.29040660220197534,-0.5774465589525255
23,campeones_del_mundo,1.6558952507373979,1.4816522166769441
23,presencial,-0.5229142897065463,-0.7408261083384721
23,cfk,0.07625833391553835,0.3555965320024666
23,arabia,0.18519881093773558,0.3259634876689277
23,antesdevenir,-1.394438105884124,-1.4223861280098664
24,campeones_del_mundo,1.8025280603944482,1.87051160487997
24,presencial,-0.7848327918463868,-0.4474715261674063
24,cfk,0.25011154904994726,0.03628147509465481
24,arabia,-0.26736062139821976,-0.38700240100964867
24,antesdevenir,-1.0004461961997897,-1.0723191527975686
25,campeones_del_mundo,1.3090366535394555,1.4557205284852215
25,presencial,1.0890304932807235,0.9424857267756883
25,cfk,-0.5060141685950839,-0.6438763875992324
25,arabia,-1.111031109306597,-1.017138061569802
25,antesdevenir,-0.7810218689184989,-0.7371918060918747
26,campeones_del_mundo,-0.14178060310147803,0.10645656795188257
26,presencial,-0.9114467342237873,-0.9866242636969128
26,cfk,0.9114467342237873,0.7337899148111912
26,arabia,1.357042915399861,1.3896384138004685
26,antesdevenir,-1.215262312298383,-1.24326063286663
27,campeones_del_mundo,1.6878498775964426,1.7870774634336721
27,presencial,-1.0127099265578654,-1.2023352051778011
27,cfk,-0.6751399510385769,0.21024440746278514
27,arabia,-0.5786913866044946,-0.41391867719235764
27,antesdevenir,0.5786913866044946,-0.38106798852629753
28,campeones_del_mundo,1.3174877914978946,1.4210534431601005
28,presencial,0.6987780551591044,0.7261031927108101
28,cfk,-0.9025883212471763,-0.81956201949537
28,arabia,0.2620417706846642,0.007189140521889142
28,antesdevenir,-1.3757192960944864,-1.3347837568974301
29,campeones_del_mundo,1.9118713305275703,1.8819155646706331
29,presencial,-0.1537182979318651,-0.031106042391250137
29,cfk,-0.1537182979318651,-0.17108323315187576
29,arabia,-0.7301619151763586,-0.7465450173900032
29,antesdevenir,-0.874272819487482,-0.9331812717375041
30,campeones_del_mundo,1.0625958138788307,1.1848745980750377
30,presencial,-1.5335189586660396,-1.3909397455663486
30,cfk,0.36828604912845847,0.18889305186703498
30,arabia,0.8814715274222119,0.9101210680866231
30,antesdevenir,-0.778834431763461,-0.8929489724623472
