Sujetos,Condición,Detalles internos norm,Detalles externos norm
1,campeones_del_mundo,0.8803956834532374,0.1196043165467626
2,campeones_del_mundo,0.9464285714285714,0.05357142857142857
3,campeones_del_mundo,0.7785714285714286,0.22142857142857142
4,campeones_del_mundo,0.7575020275750203,0.24249797242497972
5,campeones_del_mundo,0.6855895196506551,0.314410480349345
6,campeones_del_mundo,0.7883211678832117,0.2116788321167883
7,campeones_del_mundo,0.8325027685492802,0.16749723145071982
8,campeones_del_mundo,0.8235294117647058,0.17647058823529413
9,campeones_del_mundo,0.7451612903225806,0.25483870967741934
10,campeones_del_mundo,0.8358333333333333,0.16416666666666666
11,campeones_del_mundo,0.8509127789046653,0.14908722109533468
12,campeones_del_mundo,0.844137273593899,0.15586272640610105
13,campeones_del_mundo,0.8137755102040817,0.18622448979591838
14,campeones_del_mundo,0.8737288135593221,0.12627118644067797
15,campeones_del_mundo,0.8928571428571429,0.10714285714285714
16,campeones_del_mundo,0.6564327485380117,0.3435672514619883
17,campeones_del_mundo,0.8132947976878613,0.18670520231213872
18,campeones_del_mundo,0.7376190476190476,0.2623809523809524
19,campeones_del_mundo,0.8020833333333334,0.19791666666666666
20,campeones_del_mundo,0.6355685131195336,0.36443148688046645
21,campeones_del_mundo,0.7747026532479414,0.22529734675205856
22,campeones_del_mundo,0.8834677419354838,0.11653225806451613
23,campeones_del_mundo,0.8074935400516796,0.1925064599483204
24,campeones_del_mundo,0.7400199600798403,0.25998003992015967
25,campeones_del_mundo,0.5646551724137931,0.4353448275862069
26,campeones_del_mundo,0.696993670886076,0.30300632911392406
27,campeones_del_mundo,0.8297872340425532,0.1702127659574468
28,campeones_del_mundo,0.5938697318007663,0.4061302681992337
29,campeones_del_mundo,0.7875354107648725,0.21246458923512748
30,campeones_del_mundo,0.7664772727272727,0.23352272727272727
31,campeones_del_mundo,0.8364293085655314,0.16357069143446853
32,campeones_del_mundo,0.9276765375854215,0.07232346241457858
33,campeones_del_mundo,0.9000857632933105,0.09991423670668954
34,campeones_del_mundo,0.8359649122807018,0.16403508771929826
35,campeones_del_mundo,0.836508753861998,0.16349124613800206
36,campeones_del_mundo,0.7494199535962877,0.2505800464037123
37,campeones_del_mundo,0.7152605459057072,0.2847394540942928
38,campeones_del_mundo,0.7707612456747405,0.2292387543252595
39,campeones_del_mundo,0.8323281061519904,0.16767189384800965
40,campeones_del_mundo,0.7294871794871794,0.2705128205128205
41,campeones_del_mundo,0.7088744588744589,0.2911255411255411
43,campeones_del_mundo,0.8205563093622795,0.17944369063772048
45,campeones_del_mundo,0.6312615955473099,0.3687384044526902
46,campeones_del_mundo,0.8227650727650727,0.17723492723492723
47,campeones_del_mundo,0.7572463768115942,0.2427536231884058
48,campeones_del_mundo,0.8368200836820083,0.16317991631799164
49,campeones_del_mundo,0.7254273504273504,0.2745726495726496
50,campeones_del_mundo,0.7405913978494624,0.2594086021505376
51,campeones_del_mundo,0.8946629213483146,0.10533707865168539
52,campeones_del_mundo,0.8503787878787878,0.14962121212121213
54,campeones_del_mundo,0.7474662162162162,0.25253378378378377
55,campeones_del_mundo,0.7901907356948229,0.2098092643051771
56,campeones_del_mundo,0.8023049645390071,0.1976950354609929
57,campeones_del_mundo,0.7958115183246073,0.20418848167539266
58,campeones_del_mundo,0.8341942148760331,0.16580578512396693
59,campeones_del_mundo,0.8058727569331158,0.19412724306688417
60,campeones_del_mundo,0.7382246376811594,0.2617753623188406
61,campeones_del_mundo,0.6986301369863014,0.3013698630136986
63,campeones_del_mundo,0.6568767908309455,0.3431232091690544
64,campeones_del_mundo,0.735969387755102,0.26403061224489793
65,campeones_del_mundo,0.7746478873239436,0.22535211267605634
